Account,trades,total_pnl,mean_pnl,win_rate,pnl_std,avg_size_usd,median_size_usd,directional_trades,directional_long_share,consistency,freq_segment,size_segment,consistency_segment
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,1559,14900.443047,9.557692781911483,0.45221295702373315,72.5611952371814,3748.8675112251444,591.28,1466,0.24759461193072482,205.35002211987822,Infrequent,Higher size,Inconsistent
0x8170715b3b381dffb7062c0298972d4727a0a63b,4601,-167621.124781,-36.43145507085416,0.38274288198217776,1647.7789842055993,2204.6855314062163,524.38,4573,0.15931319278417735,-101.72549012197214,Frequent,Lower size,Inconsistent
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,1911,65513.657906,34.2823955552067,0.33019361590790164,325.75560971336085,6279.002286760858,1142.77,522,0.15384615384615385,201.11290781345818,Infrequent,Higher size,Inconsistent
0x8477e447846c758f5a675856001ea72298fd9cb5,14998,43917.008976,2.928191023869849,0.26196826243499133,68.6130409480178,820.4285131350847,499.94,14931,0.10268035738098413,640.0679574786976,Frequent,Lower size,Consistent
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,3052,126578.942134,41.47409637418087,0.2853866317169069,220.3877348338997,3601.689298820446,1125.1599999999999,2255,0.4226736566186107,574.3465816253301,Infrequent,Higher size,Consistent
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,15605,106302.875256,6.81210350887536,0.3457866068567767,68.2349036218229,1273.1950003204101,536.7,13584,0.8380006408202499,1557.8958804596625,Frequent,Lower size,Consistent
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,417,72846.484272,174.6918088057554,0.5731414868105515,976.068751360001,2066.6892086330936,220.86,26,0.06235011990407674,74.63253399978197,Infrequent,Lower size,Inconsistent
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,563,67845.619531,120.50731710657195,0.40852575488454707,474.8098365007934,2979.4417761989343,1125.47,460,0.8170515097690941,142.8900884425688,Infrequent,Lower size,Inconsistent
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,534,21758.831753,40.746875941947565,0.32209737827715357,288.26612386189584,8330.193370786517,1000.8,408,0.7640449438202247,75.4817508956562,Infrequent,Higher size,Inconsistent
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,14733,2143382.597689,145.48174829898866,0.3371343243059798,1374.0264020518678,3837.885375008484,623.3,11945,0.31256363266137244,1559.9282477310724,Frequent,Higher size,Consistent
0xb899e522b5715391ae1d4f137653e7906c5e2115,4838,22488.500821,4.648305254443986,0.4386109962794543,332.0834053908585,22504.555828854896,5333.95,4838,0.6260851591566763,67.7194357078195,Frequent,Higher size,Inconsistent
0xbaaaf6571ab7d571043ff1e313a9609a10637864,21192,940163.80622,44.364090516232544,0.46758210645526616,567.7627628499143,3210.472831257078,595.315,21189,0.9998584371460929,1655.90959417768,Frequent,Lower size,Consistent
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2641,220519.061853,83.49831952025748,0.32752745172283226,1530.5250331047494,7852.098337750852,1047.88,2621,0.3411586520257478,144.0806632255244,Infrequent,Higher size,Inconsistent
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,40184,836080.553077,20.806304824731235,0.428230141349791,264.1238803160226,1844.2118863229146,541.905,23784,0.3067390005972526,3165.486407653237,Frequent,Lower size,Consistent
